County,2018 Population Estimate,2010 Census Population,2010 Land Area Square Miles,2018 Population Density
New York State,"19,542,209","19,378,102","47,126.40",414.68
New York City,"8,398,748","8,175,133",302.65,"27,750.70"
Bronx,"1,432,132","1,385,108",42.1,"34,017.39"
Kings,"2,582,830","2,504,700",70.82,"36,470.35"
New York,"1,628,701","1,585,873",22.83,"71,340.39"
Queens,"2,278,906","2,230,722",108.53,"20,997.94"
Richmond,"476,179","468,730",58.37,"8,157.94"
Albany,"307,117","304,204",522.8,587.45
Allegany,"46,430","48,946","1,029.31",45.11
Broome,"191,659","200,600",705.77,271.56
Cattaraugus,"76,840","80,317","1,308.35",58.73
Cayuga,"77,145","80,026",691.58,111.55
Chautauqua,"127,939","134,905","1,060.23",120.67
Chemung,"84,254","88,830",407.35,206.83
Chenango,"47,536","50,477",893.55,53.2
Clinton,"80,695","82,128","1,037.85",77.75
Columbia,"59,916","63,096",634.71,94.4
Cortland,"47,823","49,336",498.76,95.88
Delaware,"44,527","47,980","1,442.44",30.87
Dutchess,"293,718","297,488",795.63,369.16
Erie,"919,719","919,040","1,042.69",882.06
Essex,"37,300","39,370","1,794.23",20.79
Franklin,"50,293","51,599","1,629.12",30.87
Fulton,"53,591","55,531",495.47,108.16
Genesee,"57,511","60,079",492.94,116.67
Greene,"47,491","49,221",647.16,73.38
Hamilton,"4,434","4,836","1,717.37",2.58
Herkimer,"61,833","64,519","1,411.47",43.81
Jefferson,"111,755","116,229","1,268.59",88.09
Lewis,"26,447","27,087","1,274.68",20.75
Livingston,"63,227","65,393",631.76,100.08
Madison,"70,795","73,442",654.84,108.11
Monroe,"742,474","744,344",657.21,"1,129.74"
Montgomery,"49,455","50,219",403.04,122.7
Nassau,"1,358,343","1,339,532",284.72,"4,770.80"
Niagara,"210,433","216,469",522.36,402.85
Oneida,"229,577","234,878","1,212.43",189.35
Onondaga,"461,809","467,026",778.39,593.29
Ontario,"109,864","107,931",644.07,170.58
Orange,"381,951","372,813",811.69,470.56
Orleans,"40,612","42,883",391.26,103.8
Oswego,"117,898","122,109",951.65,123.89
Otsego,"59,749","62,259","1,001.70",59.65
Putnam,"98,892","99,710",230.31,429.39
Rensselaer,"159,442","159,429",652.43,244.38
Rockland,"325,695","311,687",173.55,"1,876.66"
St Lawrence,"108,047","111,944","2,680.38",40.31
Saratoga,"230,163","219,607",809.98,284.16
Schenectady,"155,350","154,727",204.52,759.58
Schoharie,"31,097","32,749",621.82,50.01
Schuyler,"17,912","18,343",328.33,54.55
Seneca,"34,300","35,251",323.71,105.96
Steuben,"95,796","98,990","1,390.56",68.89
Suffolk,"1,481,093","1,493,350",912.05,"1,623.92"
Sullivan,"75,498","77,547",968.13,77.98
Tioga,"48,560","51,125",518.6,93.64
Tompkins,"102,793","101,564",474.65,216.57
Ulster,"178,599","182,493","1,124.24",158.86
Warren,"64,265","65,707",866.95,74.13
Washington,"61,197","63,216",831.18,73.63
Wayne,"90,064","93,772",603.83,149.15
Westchester,"967,612","949,113",430.5,"2,247.65"
Wyoming,"40,085","42,155",592.75,67.63
Yates,"24,841","25,348",338.14,73.46