FIPS Code,Geography,Year,Program Type,Population,County,Land Area (sq mi.),Population Density (person/sq.mi.),Pop Density Growth Percentage
36001,Albany County,1980,Census Base Population,285909,Albany,522.8,546.8802601,-0.290505065
36001,Albany County,1990,Census Base Population,292812,Albany,522.8,560.0841622,2.41440459
36001,Albany County,2000,Census Base Population,294601,Albany,522.8,563.5061209,0.610972231
36001,Albany County,2010,Census Base Population,304199,Albany,522.8,581.8649579,3.257965853
36001,Albany County,2020,Census Base Population,314848,Albany,522.8,602.2341239,3.500668965
36003,Allegany County,1980,Census Base Population,51742,Allegany,1029.31,50.26862656,11.3737139
36003,Allegany County,1990,Census Base Population,50470,Allegany,1029.31,49.03284725,-2.458351052
36003,Allegany County,2000,Census Base Population,49881,Allegany,1029.31,48.46061925,-1.167029924
36003,Allegany County,2010,Census Base Population,48923,Allegany,1029.31,47.52989867,-1.920570959
36003,Allegany County,2020,Census Base Population,46456,Allegany,1029.31,45.13314745,-5.042617988
36005,Bronx County,1980,Census Base Population,1168972,Bronx,42.1,27766.55582,-20.57000709
36005,Bronx County,1990,Census Base Population,1203789,Bronx,42.1,28593.56295,2.978428925
36005,Bronx County,2000,Census Base Population,1332244,Bronx,42.1,31644.75059,10.67088997
36005,Bronx County,2010,Census Base Population,1384224,Bronx,42.1,32879.42993,3.901687695
36005,Bronx County,2020,Census Base Population,1472654,Bronx,42.1,34979.90499,6.388416905
36007,Broome County,1980,Census Base Population,213648,Broome,705.77,302.7161823,-3.681897075
36007,Broome County,1990,Census Base Population,212160,Broome,705.77,300.6078467,-0.696472711
36007,Broome County,2000,Census Base Population,200415,Broome,705.77,283.966448,-5.535916272
36007,Broome County,2010,Census Base Population,200670,Broome,705.77,284.3277555,0.127235982
36007,Broome County,2020,Census Base Population,198683,Broome,705.77,281.5123907,-0.990182895
36009,Cattaraugus County,1980,Census Base Population,85697,Cattaraugus,1308.35,65.50005732,4.935958661
36009,Cattaraugus County,1990,Census Base Population,84234,Cattaraugus,1308.35,64.38185501,-1.707177605
36009,Cattaraugus County,2000,Census Base Population,83874,Cattaraugus,1308.35,64.10669928,-0.427380867
36009,Cattaraugus County,2010,Census Base Population,80337,Cattaraugus,1308.35,61.40329423,-4.217039842
36009,Cattaraugus County,2020,Census Base Population,77042,Cattaraugus,1308.35,58.88485497,-4.101472554
36011,Cayuga County,1980,Census Base Population,79894,Cayuga,691.58,115.5238729,3.170237227
36011,Cayuga County,1990,Census Base Population,82313,Cayuga,691.58,119.0216605,3.027761719
36011,Cayuga County,2000,Census Base Population,81910,Cayuga,691.58,118.4389369,-0.489594581
36011,Cayuga County,2010,Census Base Population,80022,Cayuga,691.58,115.7089563,-2.304968848
36011,Cayuga County,2020,Census Base Population,76248,Cayuga,691.58,110.251887,-4.716203027
36013,Chautauqua County,1980,Census Base Population,146925,Chautauqua,1060.23,138.5784217,-0.257968163
36013,Chautauqua County,1990,Census Base Population,141895,Chautauqua,1060.23,133.8341681,-3.423515394
36013,Chautauqua County,2000,Census Base Population,139698,Chautauqua,1060.23,131.7619762,-1.548328001
36013,Chautauqua County,2010,Census Base Population,134907,Chautauqua,1060.23,127.2431454,-3.429540851
36013,Chautauqua County,2020,Census Base Population,127657,Chautauqua,1060.23,120.4050065,-5.374072512
36015,Chemung County,1980,Census Base Population,97656,Chemung,407.35,239.7348717,-3.822251983
36015,Chemung County,1990,Census Base Population,95195,Chemung,407.35,233.6933841,-2.520070425
36015,Chemung County,2000,Census Base Population,91119,Chemung,407.35,223.6872468,-4.281737516
36015,Chemung County,2010,Census Base Population,88846,Chemung,407.35,218.1072788,-2.494540069
36015,Chemung County,2020,Census Base Population,84148,Chemung,407.35,206.5741991,-5.287801381
36017,Chenango County,1980,Census Base Population,49344,Chenango,893.55,55.2224274,6.418219473
36017,Chenango County,1990,Census Base Population,51768,Chenango,893.55,57.93520228,4.912451349
36017,Chenango County,2000,Census Base Population,51356,Chenango,893.55,57.47412008,-0.795858445
36017,Chenango County,2010,Census Base Population,50516,Chenango,893.55,56.53404958,-1.635641396
36017,Chenango County,2020,Census Base Population,47220,Chenango,893.55,52.84539198,-6.524665449
36019,Clinton County,1980,Census Base Population,80750,Clinton,1037.85,77.80507781,10.71653825
36019,Clinton County,1990,Census Base Population,85969,Clinton,1037.85,82.83374283,6.463157883
36019,Clinton County,2000,Census Base Population,79882,Clinton,1037.85,76.96873344,-7.08045923
36019,Clinton County,2010,Census Base Population,82131,Clinton,1037.85,79.13571325,2.815402714
36019,Clinton County,2020,Census Base Population,79843,Clinton,1037.85,76.93115575,-2.785793429
36021,Columbia County,1980,Census Base Population,59487,Columbia,634.7,93.7245943,15.46613872
36021,Columbia County,1990,Census Base Population,62982,Columbia,634.7,99.23113282,5.875233242
36021,Columbia County,2000,Census Base Population,63074,Columbia,634.7,99.37608319,0.146073481
36021,Columbia County,2010,Census Base Population,63063,Columbia,634.7,99.35875217,-0.01743983
36021,Columbia County,2020,Census Base Population,61570,Columbia,634.7,97.00645974,-2.367473804
36023,Cortland County,1980,Census Base Population,48820,Cortland,498.76,97.88274922,6.375561074
36023,Cortland County,1990,Census Base Population,48963,Cortland,498.76,98.16946026,0.292912737
36023,Cortland County,2000,Census Base Population,48704,Cortland,498.76,97.65017243,-0.528970852
36023,Cortland County,2010,Census Base Population,49287,Cortland,498.76,98.8190713,1.197026939
36023,Cortland County,2020,Census Base Population,46809,Cortland,498.76,93.85074986,-5.027694932
36025,Delaware County,1980,Census Base Population,46824,Delaware,1442.44,32.46166218,4.709512925
36025,Delaware County,1990,Census Base Population,47352,Delaware,1442.44,32.8277086,1.127626854
36025,Delaware County,2000,Census Base Population,47894,Delaware,1442.44,33.2034608,1.144619031
36025,Delaware County,2010,Census Base Population,47962,Delaware,1442.44,33.25060314,0.1419802
36025,Delaware County,2020,Census Base Population,44308,Delaware,1442.44,30.71739552,-7.618531337
36027,Dutchess County,1980,Census Base Population,245055,Dutchess,795.63,308.0012066,10.23864684
36027,Dutchess County,1990,Census Base Population,259462,Dutchess,795.63,326.1088697,5.879088365
36027,Dutchess County,2000,Census Base Population,280032,Dutchess,795.63,351.9625957,7.927943212
36027,Dutchess County,2010,Census Base Population,297444,Dutchess,795.63,373.84714,6.217860809
36027,Dutchess County,2020,Census Base Population,295911,Dutchess,795.63,371.920365,-0.51539113
36029,Erie County,1980,Census Base Population,1015472,Erie,1042.69,973.8963642,-8.80285518
36029,Erie County,1990,Census Base Population,968584,Erie,1042.69,928.9280611,-4.617360199
36029,Erie County,2000,Census Base Population,950227,Erie,1042.69,911.3226366,-1.895240895
36029,Erie County,2010,Census Base Population,919129,Erie,1042.69,881.4978565,-3.272691679
36029,Erie County,2020,Census Base Population,954236,Erie,1042.69,915.1674994,3.819594416
36031,Essex County,1980,Census Base Population,36176,Essex,1794.23,20.1624095,4.4613208
36031,Essex County,1990,Census Base Population,37152,Essex,1794.23,20.70637544,2.697921298
36031,Essex County,2000,Census Base Population,38893,Essex,1794.23,21.67670811,4.68615414
36031,Essex County,2010,Census Base Population,39371,Essex,1794.23,21.94311766,1.229012951
36031,Essex County,2020,Census Base Population,37381,Essex,1794.23,20.83400679,-5.054481716
36033,Franklin County,1980,Census Base Population,44929,Franklin,1629.12,27.57869279,2.271744335
36033,Franklin County,1990,Census Base Population,46540,Franklin,1629.12,28.56757022,3.585657368
36033,Franklin County,2000,Census Base Population,51110,Franklin,1629.12,31.37276566,9.819510089
36033,Franklin County,2010,Census Base Population,51597,Franklin,1629.12,31.67170006,0.95284682
36033,Franklin County,2020,Census Base Population,47555,Franklin,1629.12,29.19060597,-7.833788793
36035,Fulton County,1980,Census Base Population,55153,Fulton,495.47,111.3145095,4.779907726
36035,Fulton County,1990,Census Base Population,54191,Fulton,495.47,109.3729186,-1.744238832
36035,Fulton County,2000,Census Base Population,55053,Fulton,495.47,111.1126809,1.590670088
36035,Fulton County,2010,Census Base Population,55509,Fulton,495.47,112.0330192,0.828292768
36035,Fulton County,2020,Census Base Population,53324,Fulton,495.47,107.623065,-3.93629863
36037,Genesee County,1980,Census Base Population,59400,Genesee,492.94,120.5014809,1.15459279
36037,Genesee County,1990,Census Base Population,60060,Genesee,492.94,121.8403863,1.111111158
36037,Genesee County,2000,Census Base Population,60548,Genesee,492.94,122.8303648,0.812520815
36037,Genesee County,2010,Census Base Population,59937,Genesee,492.94,121.590863,-1.009116762
36037,Genesee County,2020,Census Base Population,58388,Genesee,492.94,118.4484927,-2.584380292
36039,Greene County,1980,Census Base Population,40861,Greene,647.16,63.13894555,23.31301304
36039,Greene County,1990,Census Base Population,44739,Greene,647.16,69.13128129,9.490712409
36039,Greene County,2000,Census Base Population,48021,Greene,647.16,74.20267013,7.33588145
36039,Greene County,2010,Census Base Population,49212,Greene,647.16,76.04301873,2.480164928
36039,Greene County,2020,Census Base Population,47931,Greene,647.16,74.06360096,-2.603023661
36041,Hamilton County,1980,Census Base Population,5034,Hamilton,1717.37,2.931226235,6.788290186
36041,Hamilton County,1990,Census Base Population,5279,Hamilton,1717.37,3.073886233,4.866905062
36041,Hamilton County,2000,Census Base Population,5376,Hamilton,1717.37,3.130367946,1.837469207
36041,Hamilton County,2010,Census Base Population,4842,Hamilton,1717.37,2.81942738,-9.933035712
36041,Hamilton County,2020,Census Base Population,5107,Hamilton,1717.37,2.973733092,5.472945077
36043,Herkimer County,1980,Census Base Population,66714,Herkimer,1411.47,47.2656167,-1.028083133
36043,Herkimer County,1990,Census Base Population,65809,Herkimer,1411.47,46.62444119,-1.356536854
36043,Herkimer County,2000,Census Base Population,64502,Herkimer,1411.47,45.69845622,-1.986050549
36043,Herkimer County,2010,Census Base Population,64469,Herkimer,1411.47,45.67507634,-0.051161203
36043,Herkimer County,2020,Census Base Population,60139,Herkimer,1411.47,42.60735262,-6.716406333
36045,Jefferson County,1980,Census Base Population,88151,Jefferson,1268.59,69.48738363,-0.40335337
36045,Jefferson County,1990,Census Base Population,110943,Jefferson,1268.59,87.45378728,25.85563409
36045,Jefferson County,2000,Census Base Population,111716,Jefferson,1268.59,88.0631252,0.696754182
36045,Jefferson County,2010,Census Base Population,116234,Jefferson,1268.59,91.62455955,4.044183467
36045,Jefferson County,2020,Census Base Population,116721,Jefferson,1268.59,92.00845033,0.418982402
36047,Kings County,1980,Census Base Population,2231028,Kings,70.82,31502.79582,-14.25758221
36047,Kings County,1990,Census Base Population,2300664,Kings,70.82,32486.07738,3.121251731
36047,Kings County,2000,Census Base Population,2465689,Kings,70.82,34816.28071,7.172929199
36047,Kings County,2010,Census Base Population,2504856,Kings,70.82,35369.3307,1.58848096
36047,Kings County,2020,Census Base Population,2736074,Kings,70.82,38634.19938,9.230790109
36049,Lewis County,1980,Census Base Population,25035,Lewis,1274.68,19.64022343,5.883099331
36049,Lewis County,1990,Census Base Population,26796,Lewis,1274.68,21.02174663,7.034152157
36049,Lewis County,2000,Census Base Population,26946,Lewis,1274.68,21.13942323,0.559785074
36049,Lewis County,2010,Census Base Population,27087,Lewis,1274.68,21.25003923,0.52326877
36049,Lewis County,2020,Census Base Population,26582,Lewis,1274.68,20.85386136,-1.864363005
36051,Livingston County,1980,Census Base Population,57006,Livingston,631.76,90.23363303,5.486575009
36051,Livingston County,1990,Census Base Population,62372,Livingston,631.76,98.72736482,9.413044233
36051,Livingston County,2000,Census Base Population,64631,Livingston,631.76,102.3030898,3.621817504
36051,Livingston County,2010,Census Base Population,65194,Livingston,631.76,103.194251,0.871099008
36051,Livingston County,2020,Census Base Population,61834,Livingston,631.76,97.87577561,-5.153848532
36053,Madison County,1980,Census Base Population,65150,Madison,654.84,99.48995174,3.636421479
36053,Madison County,1990,Census Base Population,69166,Madison,654.84,105.6227475,6.16423634
36053,Madison County,2000,Census Base Population,69420,Madison,654.84,106.0106286,0.367232541
36053,Madison County,2010,Census Base Population,73457,Madison,654.84,112.1754933,5.815326993
36053,Madison County,2020,Census Base Population,68016,Madison,654.84,103.8665934,-7.407054478
36055,Monroe County,1980,Census Base Population,702238,Monroe,657.2,1068.530128,-1.359568567
36055,Monroe County,1990,Census Base Population,713968,Monroe,657.2,1086.378576,1.670373865
36055,Monroe County,2000,Census Base Population,735328,Monroe,657.2,1118.880097,2.991730665
36055,Monroe County,2010,Census Base Population,744396,Monroe,657.2,1132.678028,1.233191209
36055,Monroe County,2020,Census Base Population,759443,Monroe,657.2,1155.573646,2.021370366
36057,Montgomery County,1980,Census Base Population,53439,Montgomery,403.04,132.5898174,-4.373423009
36057,Montgomery County,1990,Census Base Population,51981,Montgomery,403.04,128.9723104,-2.728344507
36057,Montgomery County,2000,Census Base Population,49637,Montgomery,403.04,123.1565105,-4.509339937
36057,Montgomery County,2010,Census Base Population,50268,Montgomery,403.04,124.7221119,1.2712291
36057,Montgomery County,2020,Census Base Population,49532,Montgomery,403.04,122.8959905,-1.464152084
36059,Nassau County,1980,Census Base Population,1321582,Nassau,284.72,4641.690081,-7.5065193
36059,Nassau County,1990,Census Base Population,1287873,Nassau,284.72,4523.296572,-2.550655191
36059,Nassau County,2000,Census Base Population,1334625,Nassau,284.72,4687.5,3.63017161
36059,Nassau County,2010,Census Base Population,1339854,Nassau,284.72,4705.865412,0.391795456
36059,Nassau County,2020,Census Base Population,1395774,Nassau,284.72,4902.268896,4.17358906
36061,New York County,1980,Census Base Population,1428285,New York,22.83,62561.76084,-7.208005548
36061,New York County,1990,Census Base Population,1487536,New York,22.83,65157.07403,4.148401764
36061,New York County,2000,Census Base Population,1538096,New York,22.83,67371.7039,3.398909333
36061,New York County,2010,Census Base Population,1586609,New York,22.83,69496.67105,3.154094415
36061,New York County,2020,Census Base Population,1694251,New York,22.83,74211.60753,6.784406229
36000,New York State,1980,Census Base Population,17558165,New York State,47126.39,372.5760662,-3.745470938
36000,New York State,1990,Census Base Population,17990778,New York State,47126.39,381.7559121,2.463885025
36000,New York State,2000,Census Base Population,18977026,New York State,47126.39,402.6836344,5.481964165
36000,New York State,2010,Census Base Population,19378117,New York State,47126.39,411.1945982,2.113560888
